Business  Computer software  Cloud  Management  Cloud computing  Salesforce.com  Information technology  Oracle Corporation  Server (computing)  Customer relationship management  Infrastructure  Software as a service  Technology  Linux  Solution  Open source  Small business  Enterprise software  Computing platform  Collaboration  Product (business)  Automation  Productivity  Starship Enterprise  Market  Customer  Data center  Computing  C (programming language)  Security  
0.0031309403524189374  0.0031022001052902932  0.0030807577908137187  0.002976494290852115  0.0029133818831328425  0.0028738158612779878  0.0028087506933388746  0.0028050208633547524  0.002532401230830897  0.002468331173232431  0.002279133915560476  0.002264555163379736  0.0022597259390283995  0.0022582854137806383  0.0022241824102071203  0.0021655076216294334  0.002060194182259381  0.0020247337426643674  0.0019638864650061137  0.001895851983562449  0.0018627915162695147  0.0017678799141991049  0.0017632248598284889  0.0016836017563358525  0.0016777186810606258  0.0016715344526868686  0.0016375792797427742  0.0016283794378076288  0.0016273797623750097  0.0016161864685504035  
Data  Analytics  Database  Real-time computing  Big data  Track and field  Privacy  Traffic  Record chart  Apache Hadoop  Tracking (dog)  Intelligence  Web search engine  Engine  Tool  Metric (mathematics)  History  Audit  Google Analytics  Engineer  Symbol  Algorithm  Personally identifiable information  Happening  Trust law  Anonymity  Data analysis  Cell (biology)  Dashboard  Visualization (computer graphics)  
0.004057228818031773  0.004028788961845231  0.0036915413577106337  0.003635311973009668  0.0035364081381972505  0.0034866925287637476  0.003435528150235196  0.00342498480155454  0.003356304013037797  0.003317934313495324  0.0031037047035766432  0.003083442219794625  0.0030505845044797634  0.003042509724908275  0.0030364205127471474  0.0026863374335735404  0.0026568096129146014  0.002638585872184641  0.002622687182348308  0.0025953783874900823  0.002535415445296352  0.0025344375431403388  0.00247017498851106  0.0024597223899961627  0.0024585747157493195  0.0023976916480647954  0.002388644902123025  0.0023808352978394753  0.0023647337674292464  0.0022780290302352284  
Email  Gmail  Online chat  Skype  SMS  Communication  Message  Text messaging  Email address  Videotelephony  Private school  Calendar  Instant messaging  Archive  Ship naming and launching  History  Human voice  Telephone number  Voice over Internet Protocol  Software release life cycle  Real-time computing  Software testing  Address book  Conference call  Mail  Chat room  Tool  Component Object Model  Software bug  Hotmail  
0.004870746699478168  0.004824855793562076  0.004636569136239096  0.004606351644342811  0.004176499537556364  0.003989627464309563  0.003957515012529913  0.003942203522112824  0.0037599462214107774  0.003727300599368673  0.003618682728715698  0.0034088427121363907  0.0032149227689073257  0.003146237760020501  0.003034607207754206  0.002991434174369847  0.002953400304809055  0.0029495560462875995  0.002898443048453246  0.00286519094512266  0.002857892936248687  0.0028242349738955494  0.0026966321911869296  0.0026618853956932144  0.0026117512720577646  0.002505710945061557  0.002479470355178701  0.0024336355315392813  0.002417867794864666  0.0023602956524172145  
Facebook  Twitter  Digg  Olympic Games  Computer network  United Kingdom  NBC  Computing platform  Email  August Capital  Social network  Art  Sponsor (commercial)  Virtual private network  Second  Message  Mark Zuckerberg  Privacy  Chill (radio station)  Disc jockey  Human  Facebook Platform  Shit  BBC  Telephone number  Online and offline  London  Myspace  Beluga whale  Fuck  
0.00409559285789873  0.004048645602712966  0.004027401368159872  0.004019902263153575  0.003943631260157481  0.0038508698906233358  0.003841630127126747  0.003776605459194672  0.003742721798922549  0.003697480089968879  0.0036732448901814225  0.003601908751019057  0.0035271142004328765  0.00334469002351612  0.0033348494358703437  0.0033236793462446115  0.003303697604054174  0.0032711230325944856  0.0032701295679601417  0.003205441052666795  0.003100656302304627  0.0030766672845822757  0.003050584137429477  0.003034309565029382  0.003001813290383005  0.0029049816275694734  0.0028218042575807157  0.0027424895425185165  0.0026944113178069473  0.0026382795920036244  
TechCrunch  Blog  Community  Tumblr  Image  Michael Arrington  Richard Arrington, Jr.  Matter  WordPress  Love  Editing  Tag (metadata)  Randomness  Mind  Cant (language)  Wilson, North Carolina  GUI widget  Luck  Embedded system  Q&A (film)  Visual perception  Public relations  Maybe (The Chantels song)  MG Cars  Yes (band)  Meme  Formspring  Exhibition game  Stippling  Art  
0.004696389308796862  0.004685649549066643  0.0045526825571273665  0.004438267178100773  0.0042373620433575985  0.003719408635772973  0.0036650686887426173  0.0036568153010531337  0.003617538020943004  0.003506652131759501  0.0034299442161048388  0.0034042004829593613  0.0033847280459369097  0.003257032867483969  0.0030711483781354918  0.0029758551478131423  0.0029397554826844567  0.002907263627495842  0.002892240440315825  0.002765056761098983  0.0027562390200372897  0.002745019676766787  0.002741448184810372  0.002687028489410496  0.002655872590480093  0.0025826464731053536  0.002543808739298762  0.0025366588890677944  0.002521521904096621  0.0025086513213596635  
Video game  Zynga  Kickstarter  Virtual  Sony  Xbox  Video game console  OnLive  Ship naming and launching  Nintendo  3D computer graphics  Microsoft  Energy  Zillow.com  Electronic Arts  Renting  Xbox 360  Gamer  Wii  Gadget  Kinect  Gold  PlayStation  NASA  Space  Electronic music  Nintendo 3DS  Real estate  Mobile game  Red  
0.00611721896314877  0.005955314110397195  0.005809166953964844  0.005805816219759927  0.005684721730441061  0.005346007052112912  0.00531605080397801  0.005157400521243062  0.0050818570308683005  0.004388844590729077  0.004252328459306182  0.0042062975510772  0.004194271210544068  0.004039740007075991  0.0040256962439398315  0.004017938967258461  0.003995155673480786  0.003944832425728017  0.003819805036115023  0.0036179482034097037  0.0035987552892606787  0.0035529093480766187  0.0034934822234789207  0.0034349204126662533  0.0034069841970532696  0.003367155186606961  0.00333327289434926  0.0031965235596389946  0.0031584737237386426  0.0031523457687966986  
Europe  United States  United Kingdom  Second  London  Germany  Brazil  Japan  France  Ethnic groups in Europe  English language  Norway  Italy  India  Berlin  North America  Canada  Fragment antigen-binding  Korea  Latin  Russia  Sweden  Latin America  Spain  Australia  Ireland  World Wide Web  2011  Netherlands  Asia  
0.006100801554985931  0.005693069300084877  0.005399880822714332  0.005257290390340763  0.00524981278015005  0.005219863157377173  0.0051364002610646544  0.005066178997943681  0.005013235305394247  0.0049717596723262295  0.004676531728322803  0.004569704636602979  0.004519006286800058  0.004470966050802768  0.004322803412212267  0.0043026699923568315  0.004279414980761195  0.0042729798128690625  0.00395873270888435  0.0038086126924197026  0.0037398680921691854  0.0037088424223657586  0.0036914477613904724  0.0034736641854671993  0.003464161486678922  0.0034060672117464915  0.0033158296576536223  0.003301535544966155  0.0031998700981664373  0.0031360475357156544  
Application software  Android (operating system)  IOS (Apple)  IPhone  App Store (iOS)  IPad  Uploading and downloading  Ship naming and launching  ITunes  Racial integration  Software developer  Android Market  User interface  Map  Mobile application development  Quality assurance  BlackBerry  Weighted mean  IPhone app  Screenshot  Photo sharing  Wi-Fi  Icon  Today (NBC program)  Milestone  Push technology  Fragmentation (weaponry)  Uniform Resource Locator  Volume  C (programming language)  
0.001550816871624378  0.0015330652384080625  0.0014595926856414555  0.001457523262062613  0.0014366787097474447  0.0014027082747418032  0.0012519010213122405  0.0012510055884859643  0.001249158783149796  0.0012089653374056863  0.0011822498554300098  0.0011769641306776013  0.0011709892946686342  0.0011452755259583323  0.001093295242618755  0.0010691546181766814  0.0010500664516503938  0.0010482149255534375  0.0010452543857928666  0.0010310084038946332  0.0010170973522427888  0.0010052378537805985  0.0010043486885344427  9.666061976279304E-4  9.241748150496526E-4  9.152059093525285E-4  9.064386927559258E-4  8.850445719913917E-4  8.823385688983953E-4  8.575409298662649E-4  
Chief executive officer  Yahoo!  AOL  Business  Technology  Second  Strategy  Mergers and acquisitions  Shilling  News  Vice president  President  Executive (government)  Chairman  Corporation  Yahoo (Gulliver's Travels)  Employee  Chief operating officer  Metre  Coach (sport)  Forward (association football)  Thompson, Manitoba  Shareholder  Partnership  Scott Thompson  Happening  Time (magazine)  Independent (politician)  Military strategy  Culture  
0.004381049497608981  0.004282446608005802  0.004260001989015606  0.004155946878930287  0.004020672617173846  0.003782108196550932  0.003717718299432034  0.0036641833763337273  0.00357766663237509  0.003499786516008108  0.003413259332597109  0.0031366356153993123  0.002948280921578013  0.002918845738139463  0.0028859772152088504  0.0028253291872132984  0.0028232064105514353  0.002812080669800265  0.0027792146170214677  0.0026862472185572054  0.0026789597213828426  0.0026069829132739923  0.002595719430077489  0.002568203485731278  0.002473756988170014  0.0024087939913014864  0.00233952786752055  0.0023219543107929823  0.0022583521068421535  0.002240555643012949  
Google  Website  Digital  Online and offline  Textbook  Wedding  Ship naming and launching  Apartment  Collaboration  Family (biology)  Real-time computing  Today (NBC program)  Invention  Y Combinator  Computing platform  Traffic  Publishing  Combinatory logic  Email  Landlord  Mobile phone  Component Object Model  Web design  Outsourcing  Appeal  Volunteering  CunninLynguists  Engineer  Startup company  College  
0.005432733075761164  0.005340953540724559  0.005264875123350246  0.005187564539235085  0.004885259567881845  0.004811893065528155  0.004669145893591735  0.0044185121173921475  0.00428898377704059  0.004284266343133522  0.004189903491385414  0.0038951976905328175  0.0038581783756398503  0.0038500167590203626  0.0038179925156229685  0.003731363989536628  0.0036887503672307425  0.0036845687032060824  0.0036212100911689705  0.0035875215322621937  0.0034975851343662487  0.0034797037139679683  0.00345753598608182  0.0034409530597165664  0.003399693797182243  0.00337707300410636  0.003315662140986845  0.003198646653423726  0.0031649877193450694  0.003142241529881853  
Facebook  Startup company  Twitter  Data  Application software  Mobile phone  Television  Google  Chief executive officer  Publishing  Business  Computing platform  Advertising  Online and offline  Brand  Email  Computer network  TechCrunch  Video  Internet  Investor  Mass media  Product (business)  Marketing  Social network  Ship naming and launching  Entrepreneur  News  Second  Model (person)  
0.0041245530833673326  0.004032810850997748  0.0040299530652271355  0.0037303891063377548  0.0036418676412218426  0.0035398591727121456  0.003526964008841375  0.003403183145846799  0.0032814470752681045  0.003224247170937394  0.0032036194663231077  0.0031983112964702803  0.003181058001563875  0.003164544770281236  0.003077841770277242  0.003072187105215219  0.003066225501972166  0.003027517461906266  0.003015861608294046  0.0029450584127385508  0.0028122290549851205  0.002767709337777145  0.0027384639015678846  0.0027307325456341434  0.002716779072189109  0.002713593696707286  0.0026944116707690565  0.0026461225781585634  0.002635102690798915  0.002574568085520889  
Apple Inc.  IPhone  IPad  Apple  IPhone 4  IOS (Apple)  Steve Jobs  Siri Fort  Macintosh  IPod  News  Operating system  Hardware  ITunes  ICloud  Bit  Apple TV  Cant (language)  Cougar  IPod Touch  IPad 2  Apple Worldwide Developers Conference  Yes (band)  Rumor  Biography  Ship naming and launching  Tim Cook  Theatre  Lion  Matter  
0.0032406891166230187  0.003240015586659423  0.0032027450274363556  0.003182949348978282  0.003157445314829602  0.0030686582220058956  0.003010024665249995  0.0029785324324224493  0.002678291248868457  0.0025694391436698813  0.0025021457300108373  0.0024480028501635423  0.0023787949555005624  0.0022731610039141976  0.0019869478117083904  0.001986172102409124  0.0019803709879059293  0.0019776351239597792  0.0019680196453948987  0.0018652260325306151  0.0018410730445081347  0.0018200799153797066  0.0017550568636829306  0.0017193727351239097  0.0017152949918209605  0.0017040478985220309  0.0016480705318948925  0.0016121973252698919  0.0015995810889658383  0.001591800682115468  
Television  Music  Streaming media  Netflix  Spotify  Google TV  Hulu  Film  Cable television  Digital  ITunes  DVD  Mass media  Watch  Smart TV  Playlist  Song  BBC  Consumer  Boxee  Comcast  Television program  Broadcasting  Roku  Video on demand  Subscription business model  Pay television  Radio  Internet  Time (magazine)  
0.005936829048910221  0.005562366552965489  0.005489096018132202  0.005268904090156308  0.0052322810255538725  0.005082791678511875  0.005045965919322148  0.004877937886348246  0.0044831357471853015  0.00445194796629715  0.004350525926026232  0.004187724192423712  0.003943331328850672  0.0038682361793533153  0.003764465787091819  0.003760279093046523  0.0036664566591115225  0.0035353461523649193  0.003408510587635208  0.0034027464406650924  0.0034016208616369824  0.0032261496181459084  0.0032203472584314114  0.003179079114082118  0.003074723806644316  0.0029706765245518705  0.0029510156542790454  0.0029402519516537363  0.002918897373061677  0.0028390786852432568  
Web browser  HTML  HTML5  World Wide Web  Google Chrome  Web application  JavaScript  Ship naming and launching  Firefox  Computing platform  Adobe Flash  Safari (web browser)  Mozilla  Native plant  Bookmark (World Wide Web)  Operating system  Standardization  Website  Software release life cycle  Adobe Systems  Software developer  Chrome (band)  Tab (GUI)  Uniform Resource Locator  Opera (web browser)  Default (finance)  Strobe light  C (programming language)  Android (operating system)  Software framework  
0.004825232446438063  0.004495018958282649  0.004432883243126474  0.004408703398080725  0.004320107010638991  0.004166281165875242  0.004085616120990831  0.0040303802823926345  0.003859499523386304  0.003608133771339918  0.0033552787232192095  0.0033331913456517825  0.003243814504749509  0.0032359299239585757  0.003142266140581237  0.0030420281701044397  0.0030383965484391076  0.0027965735129344372  0.002757881299669153  0.0027537712598974503  0.002693901865996669  0.0026779823380452396  0.002667187851044295  0.0025513099615934003  0.0025496610720108746  0.002531228409291348  0.002472717949860681  0.002424898461695959  0.0023606386520363763  0.002195446290784454  
Dropbox (service)  Computer file  Uploading and downloading  Cloud  Yammer  Folder (computing)  Microsoft  Online and offline  Cloud computing  Space  Flickr  Editing  Cloud storage  Macintosh  Computer  Google Docs  TechCrunch  File sharing  Photo sharing  Gigabyte  Collaboration  Backup  Evernote  Startup company  Server (computing)  User interface  Ship naming and launching  Family (biology)  Synchronization  Computer software  
0.007330208876673884  0.007281460590960478  0.006725831609903321  0.006707359574616498  0.006653636277513733  0.006550332904053447  0.0063274884676236005  0.006100884921680783  0.006058518100340547  0.006020930745430038  0.00589474488054995  0.00572116162235971  0.0056808649049651895  0.0055506696110268474  0.005524826280287568  0.0053929915997738866  0.005286253363048291  0.005259625836867595  0.005179943105295911  0.005160560403464029  0.0050706227028262  0.00501700984524973  0.004720212771953593  0.004704348549878675  0.003842488114055419  0.003750596320646774  0.003654860646954887  0.0035193006653984594  0.0035010920693627407  0.003467712955445408  
PayPal  Merchant  Retail  Credit (finance)  Credit card  Consumer  Online and offline  Mobile phone  National Football Conference  EBay  Mobile payment  Commerce  Bank  Electronic commerce  Point of sale  Wallet  Technology  Product (business)  Financial transaction  Customer  Walmart  Business  Small business  Loyalty  Holiday  United States  Solution  Online shopping  Christmas and holiday season  LivingSocial  
0.006257681031973697  0.00613122107036598  0.005970174567864185  0.005961751762574489  0.005688350507595399  0.005648239839093658  0.005638601766721376  0.0056366815386286505  0.005403655852980584  0.005335434080180305  0.00509906789295472  0.004983317258994134  0.004897808837642648  0.004841282056001889  0.004575661991694348  0.0044905103673784745  0.004458987418368914  0.004348724819452514  0.004284361685033863  0.004235459727308135  0.004005855611385135  0.0038437026544108667  0.003624556199963747  0.0035497995441616434  0.0035080246793961394  0.0034175659661789368  0.003227130871154128  0.0030645347680102026  0.0029750078302947357  0.002925930340977839  
Startup company  Chief executive officer  Investor  Business  Entrepreneur  Investment  Capital city  TechCrunch  Management  Seed  Victoria Cross  Product (business)  Seed money  Venture capital  Y Combinator  Market  Ship naming and launching  Computer software  Angel  Angel investor  Design  Security  Computing platform  2010  Technology  Particle accelerator  Theatre  Software as a service  Finance  Computer network  
0.0043140988630731986  0.004152096554534335  0.004120077853152424  0.004090489521821916  0.004052575712865739  0.0038656175688348863  0.003839803953563224  0.003785751445257842  0.0037771228597140525  0.0037444426492719814  0.0037310658129825394  0.0036071947630691038  0.0035622639860759396  0.0034702867180928312  0.0033929816636074986  0.0033841991982601328  0.0032951138058504134  0.0032664849924347746  0.003208079571218868  0.0030895584267640894  0.0030792663589682234  0.0030651780880536325  0.002871680972030659  0.0028442176897176446  0.0028304277212430297  0.0028223361967949037  0.002778119086517636  0.002755215343955794  0.0026904582378446795  0.002653397422898464  
Application software  Android (operating system)  Apple Inc.  IPhone  IPad  IOS (Apple)  Mobile phone  Smartphone  App Store (iOS)  Microsoft Windows  Software developer  Personal computer  Samsung  Market  Apple  Windows Phone 7  Hardware  Consumer  IPhone 4  Microsoft  Computer software  Consumer Electronics Show  Nokia  Mobile application development  Tablet computer  Data  Bit  Mobile device  Mobile, Alabama  Ship naming and launching  
0.004594554737558786  0.004483468965965138  0.00446496572036826  0.004367711084428242  0.004221150538393574  0.004028138470609318  0.003984747008164473  0.0038052539823567617  0.003673144723925497  0.0036099798787585895  0.003600710923437323  0.003583004023624626  0.0035271738762021774  0.0034693890468177257  0.0034485367816060875  0.00332771286018099  0.0032271592665786674  0.0030120858943243614  0.002984167592265398  0.002956160124163231  0.002951491462925271  0.002828201666092298  0.002813186064596337  0.0028129322508422074  0.002808739239696925  0.002768162633089349  0.002622648939605447  0.0025624679501629406  0.0025207042225715045  0.002513012628846189  
Silicon Valley  Second  Innovation  Industry  Entrepreneur  United States  Silicon  Mass media  Computer software  Los Angeles  Entrepreneurship  Credit (finance)  Knowledge  Rocket  Culture  Portfolio (finance)  Business  Digital  Management  Technology  Bank  Credit card  Internet  World Wide Web  Trade union  Market  Data  Domain of a function  Wallet  Gambling  
0.0054197429256040664  0.005191777180197509  0.005114846344769794  0.00493414551192104  0.004893607828895311  0.004885681565274578  0.004791198951090703  0.004724856767659199  0.00465418154246733  0.004462924996259469  0.004382262793480116  0.004190498365872878  0.0040991104045917685  0.003953034169335354  0.003910287636278743  0.003835557547056172  0.0037751169007081502  0.003768638866270422  0.0036971021683684406  0.003581449443692013  0.003567415457319489  0.0035595701666572186  0.0034463041299427856  0.0034345147468252636  0.003386018830888814  0.003321989977116812  0.003317127288864225  0.003315811202881859  0.0032977176274210473  0.0032602960344297284  
Second  Business  Blog  Shilling  Technology  Product (chemistry)  Industry  Silicon Valley  Metre  Digital  Innovation  Economy  Silicon  Model (person)  Mean  Love  Tax  Culture  Entrepreneur  Engineering  Energy  Internet  Community  Brand  United States  Consumer  Steve Jobs  Human  Bit  Business model  
0.005287446165712365  0.005141392954301383  0.00510624766047968  0.004990748929100975  0.004718892992824499  0.00441473182971187  0.004356504935041284  0.004296843135394152  0.004224848621930879  0.004098533738416425  0.00408354583721753  0.004079727691941413  0.00403951477857657  0.003713597465162569  0.0036987523270833483  0.0036632233200331456  0.0036611102200293207  0.0036414156201915035  0.003616071338194625  0.0035555294514798526  0.0034933542273065396  0.0034919262513337644  0.00336287680022332  0.0032875275873177606  0.0031880441511552477  0.003176678414440324  0.0031524364592074635  0.0031507257717167366  0.003137051404334535  0.0030908119552597478  
Hewlett-Packard  Personal computer  WebOS  Dell  Best Buy  Tablet computer  Touchpad  Computer  Laptop  Asus  Hardware  Manufacturing  3D computer graphics  Consumer  Printing  Market  Lenovo  Desktop computer  Toy  MakerBot Industries  Acer Inc.  Ecosystem  Water  Open source  Retail  3D printing  Geek  Ship naming and launching  Printer (computing)  Citigroup  
0.005045319899693307  0.004971331205277779  0.0049432381506778755  0.0048563650250232245  0.004851995648077181  0.0047831495288579275  0.004718314529967034  0.004564099313241096  0.004547272094551449  0.004250987035638888  0.004212018010705591  0.003920497691649305  0.0038616561750659173  0.003835444145057448  0.003787000509717696  0.003779868703540903  0.0035453692977239727  0.003521815383903011  0.003370342213374485  0.0033364676729224227  0.0032286574878857134  0.0032081581594127985  0.0031335313983049794  0.003020894076466247  0.0030146148217486163  0.002977411079717375  0.002969814089551573  0.0029625933477527046  0.002905012115926917  0.002830340568980789  
China  Market  Academic conference  Internet  Chinese language  Hackathon  Beijing  TechCrunch  United States  Headphones  Second  Baidu  Translation  Tencent Holdings  Foxconn  Asia  Chief executive officer  Country music  Manufacturing  Beat Generation  Western world  Coming out  Social networking service  Shakers  Sound  Innovation  Hong Kong  Online and offline  Luxury good  Theatre  
0.0057351711548073395  0.005275454890664108  0.005065069067733029  0.004790487937406822  0.004676329859493128  0.004065473702646175  0.004016696828663111  0.0038672146658653515  0.003778972722975597  0.003719065851819166  0.003700694269941133  0.0036947527885369765  0.0036885167406546107  0.0035975207928173854  0.0035846480458758606  0.0034800857527747474  0.00341194568281794  0.0032196386456628473  0.003183057196257054  0.0030045175409895695  0.0027968857638095155  0.00272977526130185  0.0026242267488058245  0.002597534812321842  0.002585655333298785  0.002548541856922082  0.00245938091027309  0.002421246893362299  0.0023015312666289168  0.0022294588449609755  
1000000000 (number)  Revenue  2011  Cash  Business  2010  Sony  2012  Fiscal year  Profit (accounting)  Chief executive officer  Generally Accepted Accounting Principles  Market  Investment  Earnings per share  Net income  Ericsson  Brightcove  Finance  Consumer  Financial transaction  Tax  2012 (film)  Sony Ericsson  Euro  Computer software  Press release  Pandora  Debt  2009  
0.004782112870059024  0.00472779533807805  0.00460544510168743  0.0045746652997104755  0.00434389579470133  0.004287750796489525  0.00395602045879749  0.003742033020718294  0.003634226325687601  0.003576820531320086  0.0035729856426553208  0.0034716144987211434  0.003395906551541  0.003309049049499358  0.003228247110269604  0.0030978925544325395  0.0030340429491737806  0.0030256418554978778  0.0029476227617749136  0.00293632386922264  0.0029194726313670613  0.0028456484561321716  0.002730484516227236  0.0027249598794750604  0.0027182238870289417  0.0026809503123858937  0.002634726834068853  0.0026208659514752367  0.0025950813097178915  0.0025159243063085507  
Advertising  Computer network  Online and offline  Publishing  Mass media  Monetization  Marketing  Advertising network  Traffic  Revenue  Computing platform  Chief executive officer  Website  Analytics  Mobile advertising  Internet  Inventory  Digital  Digital media  Distribution (business)  Technology  Medes  Online advertising  Railway platform  Mathematical optimization  Display advertising  Real-time computing  Sport  Search engine optimization  Clickthrough rate  
0.005867229246513989  0.005421528432289014  0.0049892193939756095  0.0048594978809109604  0.0045853501635059295  0.00445350492819415  0.004383232977481013  0.00425818633390499  0.004199814483690908  0.004144011284830941  0.003866106135208014  0.003806399718381555  0.003651385900100903  0.003487847175847115  0.003466229048780465  0.003398916166009097  0.0033865380961614336  0.003185130537846338  0.0030697236171033475  0.0030636064191052847  0.003059239072603861  0.0030553665095774596  0.0029346011554331414  0.0028684139851077564  0.002700226344612943  0.002691324348281177  0.0026712775929741  0.002604043841735172  0.0025952627161933872  0.0025323559272583643  
Slide show  User interface  Gesture  Design  Keyboard instrument  Human voice  Finger  Tap dance  Navigation  Light-year  Bit  Pop music  Global Positioning System  Demo (music)  Touchscreen  Sensor  Human  Stylus  JavaScript  Switch  GUI widget  Physical exercise  Speech recognition  Sport  Augmented reality  Protein-protein interaction  Interface (computing)  Run (baseball)  Usability  Bird  
0.006622282948162658  0.006441025572131631  0.006244299302558284  0.006242679659971564  0.006171040443995122  0.0060734871245334155  0.005941641008064295  0.005799465393418367  0.005782862706739289  0.005659411934892736  0.005389712689780866  0.005246885464032842  0.005197626484553817  0.0051456698829672005  0.00503227811615909  0.004935703455131755  0.0047641337372355255  0.0047343705822358965  0.004708449099962078  0.004567953366599452  0.004401577650861494  0.004330693805665017  0.004310020122887015  0.004284285218917716  0.0042616285979249656  0.004222168328655445  0.004171750983466458  0.004167238940863576  0.0040154989814021646  0.003935736237539908  
Patent  Samsung  Lawsuit  Technology  Lawyer  Design  Court  License  Sony  Injunction  Image  Second  Judge  Trial  Texas  Germany  Electronics  Human settlement  Complaint  Tab (soft drink)  Copyright infringement  Intellectual property  Samsung Galaxy Tab  California  Spokesperson  Communication  Evidence  Netherlands  Counsel  Arbitration  
