June 19   New York   York   Startup company   New Year   New York City   City   New Year's Eve   San Francisco   York City F.C.   
October 12   Apple II series   IPhone   IPhone 4   ICloud   IOS (Apple)   HTC Corporation   Technology roadmap   Cupertino, California   Ship naming and launching   
Automobile   Electronic Entertainment Expo   Technology   Gesture   Run (baseball)   Human voice   Keyboard instrument   Energy   Taxicab   Track and field   
Data   Computer network   Advertising   Real-time computing   Traffic   Analytics   Mobile phone   Online and offline   Technology   Computing platform   
Computer software   Cloud   WebOS   Business   Cloud computing   Security   Management   Computer file   Server (computing)   Dropbox (service)   
IOS (Apple)   Apple Worldwide Developers Conference   Microsoft   Microsoft Windows   Apple Inc.   Windows Phone 7   Web browser   Operating system   Google Chrome   Macintosh   
Black Friday (shopping)   Consumer Electronics Show   Ultraviolet (film)   Las Vegas, Nevada   2012   JVC   Electronics   Kenwood, Chicago   Retail   Subaru   
Motorola Mobility   Program on International Policy Attitudes   China   Motorola   Chinese language   Internet   Beijing   Google   Baidu   Tencent Holdings   
Combinatory logic   Mobile phone   Merchant   Credit (finance)   PayPal   Credit card   National Football Conference   Groupon   Consumer   Online and offline   
Thanksgiving   Startup company   Second   Virus   Consumer   Facebook   Sustainability   Traffic   Computing platform   Google   
Augusta National Golf Club   Augusta, Georgia   IBM   Gender   Gay   Pseudonym   Sponsor (commercial)   Chief executive officer   Golf   Corporation   
Music   Video   Ship naming and launching   YouTube   Spotify   Uploading and downloading   Editing   Application software   Online chat   Startup company   
