Jean-Claude Duvalier  Strait of Hormuz  Somalia  Haiti  Kenya  United States  Brazil  Government  Al-Shabaab  City  Shilling  Somali people  Village  Mogadishu  Mamata Banerjee  Hospital  Nova Friburgo  Liu Zhijun  Chinese New Year  Food  January 12  Water  Family (biology)  Australia  African Union  Medicine  Kenya Defence Forces  Flood  Tourism  Famine  
7.586014348361855E-5  7.03279899247386E-5  6.73062729650241E-5  6.695022456547365E-5  6.177054818527636E-5  6.004439270996593E-5  5.7995309502119046E-5  5.383004476497116E-5  5.221551525206916E-5  5.1800193680875576E-5  4.960464323626534E-5  4.939653721714308E-5  4.762799160913977E-5  4.7284996415755654E-5  4.49044076156015E-5  4.443621611906948E-5  4.433200009014985E-5  4.3808992036682014E-5  4.0257383633854675E-5  4.009892058895474E-5  3.954818776923196E-5  3.679155705143118E-5  3.658100445237968E-5  3.6085333864596374E-5  3.5604846540451955E-5  3.554788621681532E-5  3.5312176656500514E-5  3.42812951033174E-5  3.365181095002864E-5  3.3372243706545855E-5  
Burial at sea  Laurent Gbagbo  Alassane Ouattara  True Finns  John O. Brennan  United Nations  Ivory Coast  France  Election  Africa  Lord's Resistance Army  Uganda  African people  National Coalition Party  President of the United States  President  South Africa  Abidjan  Ellen Johnson Sirleaf  Nigeria  Nicolas Sarkozy  Peacekeeping  Democratic Republic of the Congo  Shilling  UNESCO  Zimbabwe  Robert Mugabe  Country  Ivory  Jean-Bertrand Aristide  
0.0033275486114655506  0.003304666148363224  0.00286741640524422  0.0028251516630598827  0.002798449696860919  0.002542471800387765  0.0025399651600734575  0.0025286327212625543  0.0024981612298761767  0.0024758181981401036  0.0024320359551221584  0.0023097802749005073  0.0022917630989903273  0.0022410706379034423  0.0022034632426127373  0.0021692935805460688  0.002145676920179502  0.002091692029274912  0.002090836860097395  0.002072696627653971  0.0020655890465293178  0.0020497660051251683  0.0020197362251933608  0.0020099684157994123  0.0019779487826575124  0.001910507753897386  0.001871519946487078  0.0018540668001681363  0.0018141197153623766  0.0017638394447589678  
Abbottabad  Osama bin Laden  Death of Osama bin Laden  Joint Special Operations Command  Al-Qaeda  Pakistan  Islamabad  United States Navy SEALs  United States  Inter-Services Intelligence  Terrorism  Demographics of Pakistan  Raid (military)  Helicopter  Ashfaq Parvez Kayani  Sikorsky UH-60 Black Hawk  Ahmad Shuja Pasha  May 2  May 4  Central Intelligence Agency  May 5  Afghanistan  Pakistani Armed Forces  Osama bin Laden's compound in Abbottabad  Militant  Arabian Sea  Intelligence assessment  Thomas E. Donilon  Intelligence agency  Chemical compound  
1.3673594569247092E-4  1.3417121179334468E-4  1.3302103701332417E-4  1.3123194308986403E-4  1.2944024807695195E-4  1.2873282356711332E-4  1.2180128525879672E-4  1.1517455562881453E-4  1.0427744193985276E-4  9.664224786075483E-5  9.52582115706642E-5  9.076469237512646E-5  8.866445196017502E-5  8.630199887209703E-5  8.402626581693682E-5  7.981045897075785E-5  7.918538046945207E-5  7.782972727862298E-5  7.645633948674288E-5  7.135203401559869E-5  7.005390811966553E-5  6.721609520016188E-5  6.321185109463008E-5  6.24465273165054E-5  6.115870403391174E-5  6.109771164893141E-5  6.084033116228981E-5  6.0461590618286824E-5  5.9942991798779195E-5  5.8709728229480986E-5  
Anders Behring Breivik  Madame Ngo Dinh Nhu  Jens Stoltenberg  Police  Lawyer  Independent Police Complaints Commission  Court  Prosecutor  Crime  Progress Party (Norway)  Prison  WikiLeaks  Mexico  Shilling  United Kingdom  Westminster Abbey  Judge  Murder of Milly Dowler  Law  Norway  Diana, Princess of Wales  London  Newspaper  Human rights  United States  Julian Assange  Trial  Drug  Church (building)  Hacker (computer security)  
0.003737835349490758  0.003311002428768822  0.00322233594763622  0.0032106884238331866  0.0031740868446096214  0.0031339485814190237  0.003018593679484655  0.0030145772413590587  0.003008907712883008  0.002963255636532939  0.002947954949851853  0.0028377673464496157  0.002821964801904114  0.0028138054262553938  0.0026611623641793715  0.0026568666038377245  0.002631910883530047  0.002628384773792828  0.002607706095890904  0.0025846758478436376  0.002573102038379741  0.002568643459350507  0.0025364478281978205  0.0025298674660761446  0.002511756032033864  0.0024953186508809796  0.0024508957843448896  0.0024493785389391003  0.0023904043308042287  0.0023173743955920163  
Sendai  Tsunami  Japan  Fukushima Prefecture  Nuclear reactor technology  Miyagi Prefecture  Nuclear power  Plant  Radiation  Earthquake  Minamisanriku, Miyagi  Tokyo Electric Power Company  Nuclear weapon  Kesennuma, Miyagi  Tokyo  Second  Fukushima Daiichi Nuclear Power Plant  Great Hanshin earthquake  Chernobyl disaster  Water  Nuclear and radiation accidents  March 11  Radioactive decay  Sendai Airport  Christchurch  Government  Naoto Kan  Power station  Energy  Fukushima Daiichi nuclear disaster  
0.003466548653254315  0.0034562229468372545  0.0034159968594142734  0.0033937535406173775  0.0032247852426481303  0.0032044270789487405  0.0031262143165766035  0.002968247638566785  0.00266489302562944  0.0025329574145959255  0.0025032003625719977  0.0024585458244318847  0.0023085094695934937  0.0022775099092028944  0.0022766686304889917  0.002264154608421588  0.0022624785401126985  0.00213280831916354  0.00207882847745624  0.0019935106702745004  0.0019300651606423882  0.0018953979840523171  0.0018310198923734494  0.0017895104703024116  0.0017346676379807547  0.0017346302048600586  0.0017309388137323376  0.0016459715529668654  0.0016144784485069745  0.001536190153026892  
Abbottabad  Osama bin Laden  Bin Laden family  Death of Osama bin Laden  Omar bin Laden  Al-Qaeda  United States Navy SEALs  Pakistan  May 2  Islamabad  Inter-Services Intelligence  Naval base  Taliban  May 21  United States  Tehrik-i-Taliban Pakistan  Demographics of Pakistan  Karachi  Raid (military)  Pakistan Navy  Pakistani Armed Forces  Navy  White House Situation Room  Osama bin Laden's compound in Abbottabad  Security  Commando  Presidency of Barack Obama  Peshawar  Military  Terrorism  
1.8514360415659156E-4  1.8033058947546305E-4  1.718692587224874E-4  1.642667584889981E-4  1.5744350711439548E-4  1.5740432906753463E-4  1.5532548265602723E-4  1.5303585057564053E-4  1.489839121796141E-4  1.479419123184237E-4  1.4586614978876654E-4  1.422127389444307E-4  1.3598972216892068E-4  1.2817710121124855E-4  1.2741424465609102E-4  1.2562847563798163E-4  1.2545656610084394E-4  1.2436807876749486E-4  1.2396718768546697E-4  1.2339413586377707E-4  1.1764215078735421E-4  1.1326018074697607E-4  1.1278765090992592E-4  1.0705491860064726E-4  1.0655792111282371E-4  1.0336809091526608E-4  9.836735236178302E-5  9.74212642152547E-5  9.404525042780401E-5  9.209079249820722E-5  
Rebekah Brooks  News of the World  Ilyas Kashmiri  Rupert Murdoch  Andy Coulson  News International phone hacking scandal  Paul Stephenson (police officer)  News International  Clive Goodman  Phone hacking  News Corporation  John Yates (police officer)  John Whittingdale  Scotland Yard  Tom Watson (golfer)  Police  Hacker (computer security)  Chris Bryant  Tracy Brookshaw  Scotland  United Kingdom  Metropolitan Police Service  BSkyB  Shilling  London  Scandal  South Waziristan  Tabloid  David Cameron  Newspaper  
2.0555337862980937E-4  1.8670211383686684E-4  1.8118038246521967E-4  1.669620172206491E-4  1.4355419475188538E-4  1.4146021707615592E-4  1.402268148666862E-4  1.2893901937034008E-4  1.2771412335032953E-4  1.2734540339450403E-4  1.1964714279080284E-4  1.1324128996962841E-4  1.101425448640775E-4  1.0986630286690133E-4  1.0520701338889909E-4  9.918710755974189E-5  9.741660241284308E-5  9.621404344452472E-5  9.571995658625882E-5  9.454732110753581E-5  9.356403580346973E-5  9.293571947299936E-5  9.071399380949368E-5  9.012014988195949E-5  8.90019334606051E-5  8.803804414841816E-5  8.402705234768725E-5  8.375023958699295E-5  8.315444922835946E-5  8.287237590723809E-5  
United Russia  Government  George Papandreou  Antonis Samaras  Politics  Shilling  Economy  Russia  Election  Prime minister  Europe  European Union  Germany  Italy  Euro  Minister (Christianity)  Ethnic groups in Europe  President  Vladimir Putin  Bank  Country  Greece  Silvio Berlusconi  Mariano Rajoy  Debt  Tax  France  President of the United States  Parliament  Russian language  
0.0046016229741256045  0.004486219683779796  0.004417228618460209  0.004014102224561244  0.0038831894715378053  0.0037674143954149935  0.0036589164057374045  0.0036565053465945642  0.003503685961480499  0.003479099524893894  0.0033073104754823973  0.003305691753744583  0.0032962482435287574  0.0032665563614666304  0.003215638966749515  0.003164506297348226  0.0031601730706533443  0.003090583672719733  0.003081114804790929  0.0030305614702196347  0.003019489296053495  0.0030178656140995293  0.0028863812053335925  0.0028642598847312233  0.0028390834679252975  0.0028127872206165218  0.0027864746117276986  0.0027753868629436973  0.0027400297019484514  0.002722596430178362  
Abbottabad  Osama bin Laden  Death of Osama bin Laden  John O. Brennan  Al-Qaeda  Tora Bora  United States Navy SEALs  Pakistan  Islamabad  May 2  Inter-Services Intelligence  Taliban  United States  Demographics of Pakistan  Osama bin Laden's compound in Abbottabad  Afghanistan  Military  Raid (military)  Intelligence assessment  Terrorism  June 12  Tehrik-i-Taliban Pakistan  Thomas E. Donilon  Pakistani Armed Forces  Counter-terrorism  Barack Obama  Human shield  Government of Pakistan  White House  Suicide attack  
1.9462307623700943E-4  1.90691414676609E-4  1.8932517974518223E-4  1.8710708832617387E-4  1.660071261963452E-4  1.607765594259339E-4  1.4942918476451887E-4  1.4357364280939285E-4  1.3384688061345183E-4  1.332291765518761E-4  1.2321027035724962E-4  1.22465081523534E-4  1.1594063745694088E-4  1.129542706598585E-4  1.1116469404978698E-4  1.0153379533173655E-4  1.0073630450736264E-4  9.991116300835254E-5  9.762055119464126E-5  9.586158052395348E-5  9.247697032781007E-5  8.9302670963924E-5  8.909626482996947E-5  8.806425124380682E-5  8.409532083939412E-5  8.22679210309066E-5  8.075860223361741E-5  7.694701915232627E-5  7.568707633619302E-5  7.443929497057174E-5  
Hosni Mubarak  Egypt  Tahrir Square  Muslim Brotherhood  Omar Suleiman  Cairo  Mohamed Hussein Tantawi  Gamal Mubarak  Egyptians  Military  Egyptian Armed Forces  Government  Protest  Supreme Council of the Armed Forces  Mohamed ElBaradei  April 6 Youth Movement  Revolution  Democracy  Politics of Egypt  Egyptian Army  Yemen  Ancient Egypt  President of the United States  Suez Canal  President of Egypt  Shilling  Arab world  United States  Gamal Abdel Nasser  Sharm el-Sheikh  
0.0019915531262610304  0.001962962383135389  0.0018630733965607313  0.0018533517788240958  0.0018190598877496486  0.0017904336319266088  0.0017288846113232429  0.001689824211748715  0.0015834072327797252  0.0015158376200338215  0.0015019760599213365  0.0014922779927144807  0.0014011545859282373  0.0014001280463402273  0.0013748962053869238  0.0013474623110092227  0.0013453888708299588  0.0013356511328065908  0.0012970879894621038  0.0012898368127204698  0.0012770490007599684  0.0012418735170192275  0.0012053356273531255  0.001200098245262327  0.0010804679999822828  0.0010529719173060226  0.0010278169396658447  0.001006557036323779  9.624840428018756E-4  9.434374954252779E-4  
Mario Monti  Vang Pao  Silvio Berlusconi  Technocracy  Giorgio Napolitano  Italy  European Central Bank  Euro  Greece  Eurozone  Mario Draghi  Bond (finance)  Economist  Laos  Italian Senate  European Commission  Bocconi University  Hmong people  Parliament of Italy  Financial market  Market  Politics of Italy  Ethnic groups in Europe  Bank  Social class  Asia-Pacific Economic Cooperation  Labour economics  Central Europe  Civil war  Lender of last resort  
1.2981843572489233E-4  1.2372276233758191E-4  1.2277971401421342E-4  1.1110735409594322E-4  1.102481445267743E-4  1.0469837841136844E-4  1.009159477696067E-4  9.893036636779431E-5  9.80300494182649E-5  9.784508024070955E-5  9.54724318287787E-5  9.430762893067039E-5  9.410378630839387E-5  9.336645758679652E-5  9.051541400945036E-5  9.011789838100056E-5  8.874243757402928E-5  8.730765371047634E-5  8.371371591677742E-5  8.228408667543002E-5  7.978699435218873E-5  7.23562507732525E-5  6.861458652604093E-5  6.741855837972535E-5  6.661302955391386E-5  6.506273194765836E-5  6.376878693464648E-5  6.363171116288805E-5  6.329027111848264E-5  6.291089011484254E-5  
News of the World  Wendi Deng  Rupert Murdoch  James Murdoch (media executive)  Dominique Strauss-Kahn  Andy Coulson  News International phone hacking scandal  News Corporation  Clive Goodman  News International  Phone hacking  BSkyB  United Kingdom  Hacker (computer security)  Shilling  July 8  Police  Newspaper  Tabloid  International Monetary Fund  Scandal  London  May 14  France  Editing  Richard Strauss  Lawyer  New York  News  Scotland Yard  
2.648798945248263E-4  2.2803953901011291E-4  2.2414135543447582E-4  2.2270190366001634E-4  2.2248714086685984E-4  2.1488896881608608E-4  1.891736592324573E-4  1.8858273859042752E-4  1.850138220802001E-4  1.844086785662309E-4  1.798691983518512E-4  1.7944532499830203E-4  1.7593686969447314E-4  1.746493189383405E-4  1.7120854850769416E-4  1.70087917482784E-4  1.6922104515779734E-4  1.6918826344807796E-4  1.650680652615664E-4  1.6310028399032006E-4  1.5684459369927125E-4  1.5472651911638445E-4  1.5279282737407662E-4  1.501847572302517E-4  1.4952204624531313E-4  1.4241900397458883E-4  1.417887911444921E-4  1.357144131439161E-4  1.3353080164926057E-4  1.3277302730872314E-4  
No-fly zone  Libya  Eid al-Adha  Operation Odyssey Dawn  Tomahawk (missile)  2011 military intervention in Libya  Iraqi no-fly zones  Benghazi  Muammar Gaddafi  Arab League  March 10  United States  Military  France  Anti-Gaddafi forces  United Nations Security Council  Arab people  Barack Obama  Hillary Rodham Clinton  March 18  Susan Rice  NATO  Fly  Samantha Power  Airstrike  Ceasefire  Bill Clinton  War  Race and ethnicity in the United States Census  Iraq  
9.411448645855447E-4  9.404731225268391E-4  9.236206676565371E-4  9.216191227203214E-4  9.044564023593046E-4  8.856123195788435E-4  8.754955286077412E-4  8.528280225000998E-4  8.414172282560531E-4  8.196274594591505E-4  8.191471980607856E-4  8.027296771303638E-4  7.756656388114253E-4  7.519798679809753E-4  7.328238242822237E-4  7.013317479343987E-4  6.896888172672495E-4  6.829396569124349E-4  6.79172191516913E-4  6.773317027717533E-4  6.59854978395538E-4  6.378253646803787E-4  6.016852116867263E-4  5.560717135554589E-4  5.487202581868685E-4  5.475164278768888E-4  5.441901235656025E-4  4.7810776451217527E-4  4.2780726174391934E-4  4.248430853334202E-4  
Gilad Shalit  Israel  Palestinian prisoners in Israel  Palestinian people  Passover  Hamas  Israelis  Gaza  Benjamin Netanyahu  West Bank  Palestinian National Authority  Itamar  United Nations  Mahmoud Abbas  Israel Defense Forces  Green Line (Israel)  Peace  Jerusalem  Proposals for a Palestinian state  Turkey  Egypt  Fatah  Human settlement  Judaism  Swedish Social Democratic Workers' Party  Popular Resistance Committees  Sovereign state  Richard Goldstone  Prime minister  Israeli settlement  
0.003961381166209153  0.003770690256982046  0.0036528341850188264  0.0035224321885362446  0.0034284389131709544  0.0034123933408667663  0.0032185665296270635  0.0030269730959640606  0.002723436938117734  0.002592448006180957  0.002505541233340753  0.0024943480700004156  0.0024505199831011105  0.002437274281599578  0.002367968696585073  0.00228792696961586  0.002254281091996278  0.002220413864411733  0.002160329023859634  0.0021541849527257533  0.0021454838050214897  0.0019688157869889762  0.0018979582033251217  0.0018846815384129785  0.0018488510568473717  0.0018334523495133874  0.0017828239155660045  0.0017722913316537818  0.0017474598701310382  0.001742884254795216  
Abbottabad  Osama bin Laden  Yakovlev Yak-42  Death of Osama bin Laden  Al-Qaeda  Pakistan  United States Navy SEALs  May 2  Yaroslavl  United States  Inter-Services Intelligence  Ayman al-Zawahiri  Ahmad Shuja Pasha  Islamabad  Ashfaq Parvez Kayani  Osama bin Laden's compound in Abbottabad  Taliban  Mohammed Omar  Leon Panetta  Demographics of Pakistan  Central Intelligence Agency  Khalid Sheikh Mohammed  Militant  Afghanistan  Raid (military)  Military  Barack Obama  Terrorism  September 11 attacks  Presidency of Barack Obama  
2.272859833243757E-4  2.2101837622178335E-4  2.1607286518625276E-4  2.152629647274349E-4  2.0209039122906418E-4  1.8745096919481842E-4  1.7074471658140794E-4  1.5829505945723002E-4  1.5406290962881393E-4  1.5103867611041216E-4  1.4601748004858077E-4  1.4512523304531155E-4  1.419249307254798E-4  1.4080125555518744E-4  1.3791581090315865E-4  1.3551214789830465E-4  1.3422814048729429E-4  1.3303395851894508E-4  1.3036744798434268E-4  1.2680353793071195E-4  1.2481273182760386E-4  1.2401828544115004E-4  1.2217136863795295E-4  1.1953189165693202E-4  1.094169755314337E-4  1.074345350250326E-4  1.0517096604125618E-4  1.0388826420443015E-4  1.0146896762103535E-4  1.014171970589316E-4  
Salmaan Taseer  Christmas  Ante Gotovina  Sudan  National League for Democracy  Burma  March 9  Coptic Orthodox Church of Alexandria  Husain Haqqani  Pakistan  Josefa Iloilo  Government  Abyei  Christian  Military  South India  South Sudan  Aung San Suu Kyi  Thailand  Blasphemy  Cambodia  Independence  Ieng Thirith  Referendum  Ethnic group  Boko Haram  Christmas tree  Khmer Rouge  Thein Sein  Church (building)  
0.0033420317369143313  0.0033004712796375377  0.003006411616140346  0.0028524623562731772  0.0027651826465422006  0.002747727850710459  0.002743301716878271  0.0026010531814680796  0.0025545030260437406  0.0025533774277198265  0.002543136501316933  0.0025424984177973495  0.002534605920514247  0.0023059799966754333  0.0022640012820419743  0.0022027123651755585  0.0021879927705607057  0.002185544559096202  0.0021825623024919615  0.002079092779617042  0.002066982621708843  0.0020410637422140355  0.0020305876002588235  0.00202015061004163  0.001975639332706758  0.001948074006747178  0.001933820561415607  0.001916778541474054  0.00190257243392571  0.0018454618128676023  
Nuclear meltdown  Nuclear reactor technology  Three Mile Island Nuclear Generating Station  Three Mile Island accident  Nuclear power  List of nuclear reactors  Onagawa, Miyagi  Acute radiation syndrome  Nuclear weapon  Roentgen equivalent man  Seawall  Iodine  Radionuclide  Nuclear Regulatory Commission  Risk  Tohoku Electric Power  Steam  May 31  World War II  Vapor  Disaster  Areva  State of emergency  Atmosphere  Public broadcasting  Thyroid  Metre  Battery (electricity)  Symptom  Thermal shock  
1.1439862109447461E-4  1.0800099487919125E-4  1.0742999216862355E-4  1.0667481543749264E-4  1.001662514275223E-4  9.937630203501686E-5  9.616011560517661E-5  9.587238615739655E-5  9.575256695835918E-5  9.370674629805046E-5  9.30172563662878E-5  9.267977893973315E-5  9.251625350431402E-5  9.094496750528107E-5  8.490134212020834E-5  8.440272703968175E-5  8.372426902791952E-5  8.283561815088894E-5  8.094382697856676E-5  7.834828792850022E-5  7.694388240065702E-5  7.535111684124269E-5  7.416115316493829E-5  7.407200158706561E-5  7.37688761006541E-5  7.275195731231263E-5  7.259697129124751E-5  7.20618024208407E-5  7.189310939597516E-5  7.157246899188095E-5  
Ahmed Wali Karzai  South Sudan  United States  Government  Blockade of the Gaza Strip (2007-present)  Military  Afghanistan  Politics  Shilling  Police  Mohamed Abdullahi Farmajo  Security  President of the United States  President  Frederick Chiluba  NATO  Sudan  Syed Saleem Shahzad  City  Pakistan  Country  Rebellion  China  Pheu Thai Party  Yingluck Shinawatra  Taliban  June 20  Syria  War  Minister (Christianity)  
0.0021199466028109064  0.001962521450438326  0.0019316811330021687  0.0019221095126100262  0.0018985952168975406  0.0018921529607945611  0.001840816472961626  0.0018298027884863489  0.0018241782887823868  0.0017974204518064524  0.0017682597112350304  0.0017659468384198713  0.0017658782862661163  0.001761097143729961  0.001742628699065464  0.0016632330962324945  0.0016622215208154751  0.0016447074122703772  0.001608719670930989  0.0015901072607380027  0.0015823495809354122  0.0015239715496763629  0.0015110301806803932  0.001507095617080288  0.0015025809207794257  0.0014679998065972519  0.001445393768806772  0.001444782014715704  0.0014217324398606546  0.0014176043435492351  
Lockheed Martin RQ-170 Sentinel  Frank G. Wisner  United States  China  Iran  North Korea  Korea  South Korea  Nuclear weapon  Barack Obama  Military  Beijing  Korean language  Iranian peoples  Nuclear program of Iran  Hillary Rodham Clinton  Race and ethnicity in the United States Census  Hu Jintao  Bill Clinton  Second  Diplomacy  Washington (state)  President of the United States  White House  Seoul  Presidency of Barack Obama  Tehran  Missile  Philip J. Crowley  Ambassador  
0.0031838163325654456  0.0031636412089036496  0.003012093716953974  0.0029700277700834866  0.0029628315151352703  0.0028976507481862195  0.0027978199109051816  0.002649034837211742  0.002622863393664783  0.0024988296976676703  0.0024745303387773577  0.002471992025037585  0.0024599138461705  0.0024264456154843594  0.0023907190533592367  0.0023731969108914193  0.002323617631399579  0.002295823435877405  0.0022779989865542253  0.002253888545252206  0.002237225663853126  0.0022307518198817476  0.002228646021232082  0.002203991907784433  0.0021759866503583327  0.002164153617802296  0.0021270342339792642  0.002108831497951286  0.00209964054305864  0.002026788952161172  
Nuclear reactor technology  Tokyo Electric Power Company  Nuclear fuel  Containment building  Spent fuel pool  Yukio Edano  Boiling water reactor  Spent nuclear fuel  Nuclear and Industrial Safety Agency  Chernobyl disaster  Iodine-131  Potassium iodide  Radiation  Fukushima Prefecture  Liam Fox  Japan  Sievert  Nuclear reactor core  Nuclear power  Seiji Maehara  Caesium-137  Tsunami  Radioactive decay  Plutonium  Tokyo  Plant  Radioactive contamination  Walter Bonatti  Caesium  Nuclear safety  
0.0027902077109503735  0.0024684467430234527  0.0023262460163125933  0.002148712533659523  0.002116587331727218  0.0020641599074493555  0.0020586641204614654  0.00187756371134792  0.0016975125970398954  0.0016271479803641375  0.001620809862105041  0.0015597293046048966  0.001452158579001028  0.0014303205815666621  0.0014048355197088696  0.001342993378134521  0.0012653802300959616  0.0012627644618410105  0.0012396381103717726  0.00123065465357351  0.0010490191396388049  9.834119809116672E-4  9.695064159106192E-4  8.889726310673741E-4  8.823464121735449E-4  8.756899138576071E-4  8.139757354132257E-4  7.356359356077026E-4  6.910139881967228E-4  6.773083609688031E-4  
Osama bin Laden  Death of Osama bin Laden  Al-Qaeda  Mohammed Omar  United States Naval Special Warfare Development Group  Taliban  Pakistan  United States Navy SEALs  Inter-Services Intelligence  Afghanistan  Ayman al-Zawahiri  Islamabad  Terrorism  United States  May 2  Tora Bora  Jihadism  NATO  Demographics of Pakistan  Waziristan  David Headley  Tehrik-i-Taliban Pakistan  Jihad  Mullah  Kabul  Mumbai  White House  Barack Obama  Insurgency  Leon Panetta  
